# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 7.571146e+00
# iters            rel. res.
      0            1.000000e+00
      1            8.598825e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 7.582443e+00
# iters            rel. res.
      0            1.000000e+00
      1            9.286721e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 2.817947e+01
# iters            rel. res.
      0            1.000000e+00
      1            3.092554e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 2.817947e+01
# iters            rel. res.
      0            1.000000e+00
      1            6.615448e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.747787e+01
# iters            rel. res.
      0            1.000000e+00
      1            1.871619e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 1.126804e-03
# initial residual norm     = 1.748225e+01
# iters            rel. res.
      0            1.000000e+00
      1            5.125806e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 1.126804e-03
# initial residual norm     = 1.665695e+01
# iters            rel. res.
      0            1.000000e+00
      1            7.402775e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.182315e+01
# iters            rel. res.
      0            1.000000e+00
      1            4.739654e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.142971e+01
# iters            rel. res.
      0            1.000000e+00
      1            7.767908e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.880395e+00
# iters            rel. res.
      0            1.000000e+00
      1            7.774338e-02
      2            9.450608e-02
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 2.515500e-01
# iters            rel. res.
      0            1.000000e+00
      1            1.240887e+00
      2            4.826141e-01
      3            1.958403e+00
      4            3.423682e+00
      5            9.380159e-01
      6            5.035012e-01
      7            9.565468e-01
      8            4.466046e-02
      9            5.904919e-01
     10            3.745808e-01
     11            1.514530e+00
     12            -7.333350e-01
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = -9.399857e-02
# iters            rel. res.
      0            1.000000e+00
      1            -1.503191e+00
      2            -3.695479e-01
      3            -3.445313e+00
      4            -4.328410e+00
      5            -4.072028e+00
      6            1.770749e+00
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 4.223805e-01
# iters            rel. res.
      0            1.000000e+00
      1            5.374403e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.873170e-02
# iters            rel. res.
      0            1.000000e+00
      1            2.500696e+00
      2            3.354707e+00
      3            3.344780e+00
      4            4.008635e+00
      5            4.918578e+00
      6            2.003189e+00
      7            5.978704e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 5.685711e-02
# iters            rel. res.
      0            1.000000e+00
      1            6.061901e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 8.235411e-02
# iters            rel. res.
      0            1.000000e+00
      1            4.346600e-01
      2            5.204594e-01
      3            3.691303e-01
      4            7.172151e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 7.550706e-02
# iters            rel. res.
      0            1.000000e+00
      1            1.205200e-01
      2            3.627524e+00
      3            -7.091567e-02
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.702375e-02
# iters            rel. res.
      0            1.000000e+00
      1            1.408052e+00
      2            3.749051e-01
      3            6.444675e-01
      4            2.739259e+00
      5            3.528609e-02
      6            1.922570e+00
      7            2.071717e-01
      8            3.677847e+00
      9            3.101666e+00
     10            -3.838642e+00
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.225769e-02
# iters            rel. res.
      0            1.000000e+00
      1            4.111901e-01
      2            3.827498e-01
      3            -3.604155e-02
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 4.853468e-03
# iters            rel. res.
      0            1.000000e+00
      1            4.952204e-01
      2            7.489820e-01
      3            -3.466840e-01
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 2.564795e-02
# iters            rel. res.
      0            1.000000e+00
      1            1.210096e-01
      2            9.473809e-02
      3            6.376376e-02
      4            2.591495e-01
      5            2.276142e-01
      6            2.068530e-01
      7            -1.201092e-02
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.240412e-02
# iters            rel. res.
      0            1.000000e+00
      1            1.859692e-01
      2            4.835783e-01
      3            1.811259e-01
      4            -6.447575e-01
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = -2.116297e-05
# iters            rel. res.
      0            1.000000e+00
      1            3.453096e+02
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.144587e-03
# iters            rel. res.
      0            1.000000e+00
      1            2.254157e+00
      2            4.045485e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.240999e-02
# iters            rel. res.
      0            1.000000e+00
      1            3.146386e-01
      2            7.201972e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = -1.795941e-03
# iters            rel. res.
      0            1.000000e+00
      1            -1.065824e+00
      2            3.842141e+00
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 3.421727e-04
# iters            rel. res.
      0            1.000000e+00
      1            -7.845634e-01
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 3.401673e-04
# iters            rel. res.
      0            1.000000e+00
      1            7.439645e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 1.056340e-03
# iters            rel. res.
      0            1.000000e+00
      1            -1.184029e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.960185e-04
# iters            rel. res.
      0            1.000000e+00
      1            1.365827e+00
# trust-region boundary encountered
# STCG residual history
# residual tolerance target = 9.500000e-04
