#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-03
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.000000e+00
      1     9.999159e-01     9.998334e-01     9.999163e-01     9.995453e-01     -2.947658e-01     1.254736e-01     1.000000e+00
      2     1.473065e-01     1.665774e+00     7.741580e-02     5.445321e-02     -4.411912e+01     1.975798e+03     1.000000e+00
      3     7.806352e-02     9.314607e-01     3.433744e-02     4.242808e-02     -3.426110e+01     2.179631e+03     1.000000e+00
      4     4.334643e-02     5.755222e-01     2.132219e-04     3.407917e-02     -3.550444e+01     2.037916e+03     1.000000e+00
      5     4.118289e-05     5.102044e-04     1.485565e-05     5.536966e-02     5.312815e+02     2.162025e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 4.116545e-05
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.485565e-05
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.620506e-05     5.102044e-04     1.485565e-05     2.311159e-01     5.312815e+02     1.899151e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
      5     4.620506e-05     5.102044e-04     1.485565e-05     6.086102e-01     5.312815e+02     1.256855e+03     1.000000e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.741236e-03
# initial residual norm     = 1.750451e+01
# initial gradient norm     = 1.682424e+01
# initial constraint norm   = 4.832475e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.023293e+00
      1     9.370240e-01     9.061962e-01     1.251698e+00     1.158334e+00     -1.940020e+01     1.175058e+00     1.023293e+00
      2     3.693992e-01     3.130373e-01     7.763141e-01     7.490572e-01     -6.910312e+00     1.436600e+01     1.023293e+00
      3     2.763471e-01     2.819634e-01     1.958606e-01     1.116832e+00     -1.224943e+01     2.748818e+02     1.023293e+00
      4     2.717879e-01     2.821848e-01     6.369734e-02     1.115900e+00     -8.412616e+00     2.749084e+02     1.023293e+00
      5     1.105522e-01     1.125460e-01     8.264465e-02     1.115898e+00     -1.423635e+03     2.749083e+02     1.023293e+00
      6     1.041732e-01     1.081476e-01     2.497760e-02     1.115888e+00     -1.432342e+03     2.749081e+02     1.023293e+00
      7     1.036557e-01     1.075742e-01     2.668386e-02     7.381477e-01     -1.432926e+03     1.551824e+01     1.023293e+00
      8     4.017004e-02     2.725742e-02     1.103032e-01     1.048210e+00     -1.464184e+03     2.629934e+02     1.023293e+00
      9     3.987872e-02     2.684211e-02     1.101506e-01     1.048198e+00     -1.464206e+03     2.629939e+02     1.023293e+00
     10     1.319365e-03     1.014872e-03     3.218030e-03     1.048198e+00     -1.465104e+03     2.629940e+02     1.023293e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.319365e-03
# FLECS final (true) rel. feas. : |feas|/|feas0| = 3.218030e-03
#-------------------------------------------------
# FLECS resolving at new radius
     10     1.821879e-03     1.014872e-03     3.218030e-03     8.246449e-01     -1.465104e+03     1.325773e+02     1.023293e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.504174e-03
# initial residual norm     = 2.458181e+02
# initial gradient norm     = 2.455216e+02
# initial constraint norm   = 1.206929e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.047129e+00
      1     3.679301e-01     2.259340e-01     5.918754e+00     2.999126e+00     -1.483142e+03     2.172171e+02     1.047129e+00
      2     3.664750e-01     2.441096e-01     5.572516e+00     6.265884e+00     -1.412263e+03     8.509938e+02     1.047129e+00
      3     1.031224e-01     7.039394e-02     1.536461e+00     2.047815e+04     -7.393765e+02     1.562118e+10     1.047129e+00
      4     5.472769e-02     5.207889e-02     3.465111e-01     1.924084e+04     -4.257312e+02     1.381784e+10     1.047129e+00
      5     2.973009e-02     2.746764e-02     2.333144e-01     1.531172e+01     -3.368072e+02     6.234658e+03     1.047129e+00
      6     3.225484e-03     3.014513e-03     2.356240e-02     6.678773e+00     -3.777723e+02     9.471114e+02     1.047129e+00
      7     8.855991e-04     7.862090e-04     8.339409e-03     6.998541e+00     -3.780447e+02     1.036778e+03     1.047129e+00
      8     6.157792e-04     4.531274e-04     8.504497e-03     6.353260e+00     -3.780564e+02     8.652905e+02     1.047129e+00
      9     3.748476e-04     3.707023e-04     1.191402e-03     6.433915e+00     -3.780586e+02     2.858657e+03     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 3.748476e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.191402e-03
#-------------------------------------------------
# FLECS resolving at new radius
      9     3.838675e-04     3.707023e-04     1.191402e-03     4.840972e+00     -3.780586e+02     1.204834e+03     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
      9     3.838675e-04     3.707023e-04     1.191402e-03     3.950047e+00     -3.780586e+02     7.071707e+02     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS resolving at new radius
      9     3.838675e-04     3.707023e-04     1.191402e-03     3.041962e+00     -3.780586e+02     4.781220e+02     1.047129e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 4.233223e-03
# initial residual norm     = 6.207631e+01
# initial gradient norm     = 4.638647e+01
# initial constraint norm   = 4.125244e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.071519e+00
      1     4.420853e-01     2.449473e-01     6.055490e-01     6.035807e-01     -1.386067e+02     4.628050e+02     1.071519e+00
      2     3.187280e-01     1.630167e-01     4.432087e-01     7.550320e-02     -1.247011e+02     7.958193e+02     1.071519e+00
      3     1.917608e-01     1.495995e-01     2.344562e-01     8.789204e-02     -1.042970e+02     8.400288e+02     1.071519e+00
      4     5.234883e-02     6.996460e-02     4.009137e-03     8.640234e-02     -1.252812e+02     8.402632e+02     1.071519e+00
      5     5.210039e-02     6.964021e-02     3.817440e-03     8.622544e-02     -1.268106e+02     8.402834e+02     1.071519e+00
      6     3.528107e-02     3.786586e-02     3.171270e-02     8.616122e-02     -2.636324e+02     8.402767e+02     1.071519e+00
      7     3.515006e-02     3.763076e-02     3.173710e-02     7.698721e-02     -2.640380e+02     8.018494e+02     1.071519e+00
      8     3.123295e-02     3.015109e-02     3.254941e-02     8.585464e-02     -2.769434e+02     8.302753e+02     1.071519e+00
      9     1.799615e-02     1.484622e-02     2.132288e-02     8.585549e-02     -2.956154e+02     8.302803e+02     1.071519e+00
     10     1.463387e-02     1.193916e-02     1.745536e-02     8.584599e-02     -2.969424e+02     8.302840e+02     1.071519e+00
     11     1.414223e-02     1.163806e-02     1.678184e-02     8.584544e-02     -2.970734e+02     8.302858e+02     1.071519e+00
     12     3.063177e-04     2.881781e-04     3.278196e-04     8.584447e-02     -2.979427e+02     8.302859e+02     1.071519e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 3.063173e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 3.278196e-04
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.467276e-03
# initial residual norm     = 4.714638e+01
# initial gradient norm     = 4.593898e+01
# initial constraint norm   = 1.060146e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.096478e+00
      1     8.134618e-01     7.024344e-01     1.955003e+00     9.811107e-01     -1.096878e+02     9.310670e-02     1.096478e+00
      2     2.208543e-01     1.249747e-01     8.193844e-01     4.512124e-01     -2.965899e+01     3.972531e+01     1.096478e+00
      3     1.569889e-01     1.057090e-01     5.268731e-01     6.231168e-01     -3.470908e+01     1.844131e+02     1.096478e+00
      4     8.928998e-02     9.137386e-02     3.005677e-02     5.738724e-01     -3.664461e+01     1.878736e+02     1.096478e+00
      5     8.833483e-02     9.051295e-02     2.209857e-02     5.721484e-01     -3.937667e+01     1.879954e+02     1.096478e+00
      6     7.020802e-02     6.306263e-02     1.510303e-01     5.715952e-01     -1.277325e+02     1.880340e+02     1.096478e+00
      7     2.887160e-02     9.651533e-03     1.213941e-01     5.703908e-01     -1.831496e+02     1.881171e+02     1.096478e+00
      8     2.887018e-02     9.647055e-03     1.213941e-01     5.697953e-01     -1.831519e+02     1.881559e+02     1.096478e+00
      9     2.693913e-02     1.112904e-02     1.096677e-01     5.693882e-01     -1.835269e+02     1.881851e+02     1.096478e+00
     10     1.395348e-02     3.333267e-03     6.034888e-02     5.687739e-01     -1.846748e+02     1.882257e+02     1.096478e+00
     11     1.388332e-02     3.300819e-03     6.006166e-02     4.611469e-01     -1.846773e+02     5.504246e+01     1.096478e+00
     12     4.157080e-03     2.523815e-03     1.490544e-02     5.687706e-01     -1.847470e+02     1.882258e+02     1.096478e+00
     13     1.048118e-03     6.110388e-04     3.836074e-03     4.612269e-01     -1.847461e+02     5.512870e+01     1.096478e+00
     14     7.848156e-04     2.550445e-04     3.310600e-03     4.612270e-01     -1.847460e+02     5.512870e+01     1.096478e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 7.848126e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 3.310600e-03
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.424870e-03
# initial residual norm     = 3.437274e+01
# initial gradient norm     = 3.394343e+01
# initial constraint norm   = 5.415654e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.122018e+00
      1     8.322268e-01     7.578377e-01     2.310667e+00     7.522773e-01     -5.978328e+01     1.299972e+00     1.122018e+00
      2     1.309030e-01     1.162044e-01     3.997728e-01     6.694289e-01     -1.834034e+01     9.492347e+00     1.122018e+00
      3     1.236481e-01     1.150552e-01     3.096199e-01     8.031933e-01     -2.313953e+01     1.152558e+02     1.122018e+00
      4     1.098095e-01     1.110117e-01     4.036591e-02     7.986559e-01     -1.930907e+01     1.153700e+02     1.122018e+00
      5     1.098043e-01     1.109958e-01     4.149906e-02     7.963641e-01     -1.889788e+01     1.154261e+02     1.122018e+00
      6     1.094441e-01     1.104979e-01     5.360476e-02     7.914927e-01     -1.314357e+01     1.155546e+02     1.122018e+00
      7     9.456628e-02     8.265368e-02     3.031107e-01     7.808869e-01     2.533560e+02     1.158327e+02     1.122018e+00
      8     9.442474e-02     8.235112e-02     3.045647e-01     7.806052e-01     2.562434e+02     1.158402e+02     1.122018e+00
      9     6.429948e-02     5.253024e-02     2.411411e-01     7.776941e-01     5.200620e+02     1.159149e+02     1.122018e+00
     10     3.145526e-02     1.856494e-02     1.622297e-01     7.773432e-01     5.886252e+02     1.159234e+02     1.122018e+00
     11     2.222714e-02     9.367866e-03     1.282750e-01     7.772947e-01     5.918480e+02     1.159247e+02     1.122018e+00
     12     2.024201e-02     8.713003e-03     1.162903e-01     7.772942e-01     5.922458e+02     1.159247e+02     1.122018e+00
     13     7.018781e-03     4.744678e-03     3.316846e-02     7.772980e-01     5.930979e+02     1.159259e+02     1.122018e+00
     14     7.000787e-03     4.741753e-03     3.303142e-02     7.772929e-01     5.931005e+02     1.159260e+02     1.122018e+00
     15     6.801974e-03     4.793101e-03     3.100480e-02     7.772902e-01     5.931091e+02     1.159261e+02     1.122018e+00
     16     6.271608e-03     4.952752e-03     2.491703e-02     7.772900e-01     5.931076e+02     1.159261e+02     1.122018e+00
     17     4.626268e-03     4.673855e-03     2.004185e-03     7.772876e-01     5.931150e+02     1.159262e+02     1.122018e+00
     18     4.497288e-03     4.521209e-03     3.427967e-03     7.772874e-01     5.932322e+02     1.159262e+02     1.122018e+00
     19     4.471739e-03     4.504915e-03     2.880501e-03     7.772873e-01     5.932519e+02     1.159262e+02     1.122018e+00
     20     4.466544e-03     4.496649e-03     3.057758e-03     7.772874e-01     5.932596e+02     1.159262e+02     1.122018e+00
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 4.466558e-03
# FLECS final (true) rel. feas. : |feas|/|feas0| = 3.057758e-03
#-------------------------------------------------
# FLECS resolving at new radius
     20     4.518210e-03     4.496649e-03     3.057758e-03     6.947029e-01     5.932596e+02     6.229116e+01     1.122018e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.303627e-03
# initial residual norm     = 1.011161e+02
# initial gradient norm     = 1.008553e+02
# initial constraint norm   = 7.258898e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.148154e+00
      1     7.049501e-01     5.191410e-01     6.663649e+00     1.343385e+00     4.101160e+02     9.402773e+01     1.148154e+00
      2     1.635482e-01     1.523965e-01     8.407765e-01     1.433885e+00     4.973148e+01     1.279144e+02     1.148154e+00
      3     1.037052e-01     9.016016e-02     7.194929e-01     1.218664e+00     1.164959e+02     1.795413e+02     1.148154e+00
      4     1.036655e-01     9.037972e-02     7.130355e-01     1.231680e+00     1.154506e+02     1.822379e+02     1.148154e+00
      5     9.585073e-02     8.652865e-02     5.808543e-01     1.260636e+00     1.073457e+02     1.831277e+02     1.148154e+00
      6     7.774959e-02     6.690318e-02     5.558088e-01     1.280122e+00     1.236902e+02     1.836206e+02     1.148154e+00
      7     5.821445e-02     4.694507e-02     4.818315e-01     1.311319e+00     1.158095e+02     1.856000e+02     1.148154e+00
      8     5.388777e-02     4.629517e-02     3.869654e-01     1.312348e+00     1.090521e+02     1.856698e+02     1.148154e+00
      9     4.817219e-02     4.370386e-02     2.856068e-01     1.348079e+00     1.066066e+02     1.884369e+02     1.148154e+00
     10     3.683719e-02     3.209433e-02     2.539080e-01     1.348459e+00     1.070941e+02     1.885299e+02     1.148154e+00
     11     2.730636e-02     2.575506e-02     1.289801e-01     1.349930e+00     1.003125e+02     1.886125e+02     1.148154e+00
     12     2.370777e-02     2.161942e-02     1.372421e-01     1.347487e+00     1.006361e+02     1.888757e+02     1.148154e+00
     13     2.370596e-02     2.159529e-02     1.379135e-01     1.347115e+00     1.006545e+02     1.890193e+02     1.148154e+00
     14     2.005940e-02     1.737274e-02     1.407704e-01     1.352111e+00     9.931367e+01     1.891521e+02     1.148154e+00
     15     1.463855e-02     1.363938e-02     7.529052e-02     1.367182e+00     9.612330e+01     1.905614e+02     1.148154e+00
     16     1.344070e-02     1.177712e-02     9.098990e-02     1.368105e+00     9.631849e+01     1.906395e+02     1.148154e+00
     17     1.339921e-02     1.179751e-02     8.927645e-02     1.368501e+00     9.624465e+01     1.906822e+02     1.148154e+00
     18     8.392672e-03     6.295143e-03     7.757417e-02     1.372480e+00     9.396417e+01     1.909239e+02     1.148154e+00
     19     8.385438e-03     6.248715e-03     7.814489e-02     1.372754e+00     9.401870e+01     1.909370e+02     1.148154e+00
     20     8.081004e-03     5.875565e-03     7.750649e-02     1.372772e+00     9.414425e+01     1.909372e+02     1.148154e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 8.081004e-03
# FLECS final (true) rel. feas. : |feas|/|feas0| = 7.750649e-02
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 1.007667e-03
# initial residual norm     = 1.344695e+01
# initial gradient norm     = 5.160712e+00
# initial constraint norm   = 1.241723e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.174898e+00
      1     8.496780e-01     6.751558e-01     8.763101e-01     8.527632e-01     -3.080286e+00     2.009319e+01     1.174898e+00
      2     8.081073e-01     6.148275e-01     8.369843e-01     8.340158e-01     -3.615069e+00     2.912965e+01     1.174898e+00
      3     7.753671e-01     6.502872e-01     7.949816e-01     5.417396e-01     -5.511499e+00     5.063374e+01     1.174898e+00
      4     5.435018e-01     6.268331e-01     5.277770e-01     5.100108e-01     -6.876416e+00     5.963030e+01     1.174898e+00
      5     4.829175e-01     5.568360e-01     4.689709e-01     4.399320e-01     -8.325062e+00     6.348702e+01     1.174898e+00
      6     4.771998e-01     5.474217e-01     4.639952e-01     4.436412e-01     -7.927518e+00     6.367278e+01     1.174898e+00
      7     4.400173e-01     5.504334e-01     4.180013e-01     3.713933e-01     -1.008991e+01     6.746685e+01     1.174898e+00
      8     3.620595e-01     5.330566e-01     3.234942e-01     3.666299e-01     -1.111533e+01     7.143900e+01     1.174898e+00
      9     3.175955e-01     5.042467e-01     2.727093e-01     3.285847e-01     -1.250488e+01     7.394337e+01     1.174898e+00
     10     2.997109e-01     4.835134e-01     2.548736e-01     3.370060e-01     -1.239957e+01     7.498241e+01     1.174898e+00
     11     2.778732e-01     4.829569e-01     2.241911e-01     3.283212e-01     -1.435322e+01     7.524920e+01     1.174898e+00
     12     2.389033e-01     4.626856e-01     1.730765e-01     2.940928e-01     -1.449577e+01     8.083468e+01     1.174898e+00
     13     2.268118e-01     4.602172e-01     1.540944e-01     2.638941e-01     -1.509231e+01     8.286589e+01     1.174898e+00
     14     2.042265e-01     4.443604e-01     1.216801e-01     2.511609e-01     -1.497557e+01     8.369986e+01     1.174898e+00
     15     2.021410e-01     4.492493e-01     1.142696e-01     2.504775e-01     -1.573359e+01     8.375681e+01     1.174898e+00
     16     1.839923e-01     4.332860e-01     8.528032e-02     1.914367e-01     -1.490297e+01     8.625204e+01     1.174898e+00
     17     1.820282e-01     4.343159e-01     7.921688e-02     1.831523e-01     -1.516107e+01     8.654067e+01     1.174898e+00
     18     1.711966e-01     4.218144e-01     6.030911e-02     1.622834e-01     -1.450442e+01     8.711693e+01     1.174898e+00
     19     1.679863e-01     4.062953e-01     6.767611e-02     1.564567e-01     -1.294328e+01     8.721952e+01     1.174898e+00
     20     1.582133e-01     3.872418e-01     5.876310e-02     1.308431e-01     -1.172074e+01     8.778077e+01     1.174898e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.582133e-01
# FLECS final (true) rel. feas. : |feas|/|feas0| = 5.876310e-02
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.051970e-04
# initial residual norm     = 6.446741e+00
# initial gradient norm     = 1.488397e+00
# initial constraint norm   = 6.272571e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.202264e+00
      1     9.621017e-01     9.452867e-01     9.630397e-01     8.307807e-01     -1.373201e-01     6.365199e+00     1.202264e+00
      2     6.025246e-01     1.126453e+00     5.585978e-01     5.538682e-01     -4.198412e-01     1.604125e+01     1.202264e+00
